,tweet_id,text,favorite_count,retweet_count,created_at
0,1599404573386412032,"RT @RealDMitchell: My @ObsNewReview column today is about surveys, artificial intelligence and Christmas carols.
https://t.co/MCokCfW6rm",0,1,Sun Dec 04 14:05:40 +0000 2022
1,1599404503803236352,"@renoomokri Peter Obi's Manifesto is the most Technologically &amp; scientifically advanced manifesto.

He is talking B… https://t.co/KMv3IohSOO",0,0,Sun Dec 04 14:05:23 +0000 2022
2,1599404474904514560,"My @ObsNewReview column today is about surveys, artificial intelligence and Christmas carols.
https://t.co/MCokCfW6rm",3,1,Sun Dec 04 14:05:16 +0000 2022
3,1599404456277577733,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 14:05:12 +0000 2022
4,1599404421943013377,"RT @VLSorrellImages: #JADEL
@CASEfromASE EIC recommended reading:

@JournalASEcho  
Focus Topic: Artificial Intelligence in Echocardiograph…",0,1,Sun Dec 04 14:05:04 +0000 2022
5,1599404400984064000,"RT @DeptofDefense: The future of surface vessels.  
@US5thFleet began a three-week unmanned and artificial intelligence integration event,…",0,14,Sun Dec 04 14:04:59 +0000 2022
6,1599404359515009024,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:04:49 +0000 2022
7,1599404335850352643,"A #free interactive #database of 1,200+ companies involved in #AI, with powerful visualization tools. Searchable by… https://t.co/TmaPZ1Sniy",0,0,Sun Dec 04 14:04:43 +0000 2022
8,1599404255206526977,"RT @AdamSinger: @levie ""I agree! ChatGPT is a game-changer in the world of technology and artificial intelligence. It's exciting to see how…",0,1,Sun Dec 04 14:04:24 +0000 2022
9,1599404210373763072,"RT @atif10061990: Artificial Intelligence Overview 🤖

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats #…",0,11,Sun Dec 04 14:04:13 +0000 2022
10,1599404197081817089,RT @MemeingBitcoin: Artificial intelligence ends 14 year long debate https://t.co/pSHvOmGkW2,0,216,Sun Dec 04 14:04:10 +0000 2022
11,1599404190144819202,"RT @atif10061990: Artificial Intelligence Overview 🤖

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats #…",0,11,Sun Dec 04 14:04:09 +0000 2022
12,1599404140739715072,"RT @destiny_thememe: For someone who is defending artificial intelligence generated images/text, there isnt a lot of intelligence happening…",0,30,Sun Dec 04 14:03:57 +0000 2022
13,1599404097672646656,"RT @DeptofDefense: The future of surface vessels.  
@US5thFleet began a three-week unmanned and artificial intelligence integration event,…",0,14,Sun Dec 04 14:03:47 +0000 2022
14,1599404093214142464,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:03:45 +0000 2022
15,1599404067658158080,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:03:39 +0000 2022
16,1599404062440534016,RT @karan_samurai: With so many new crypto launches happening everyday we find that some can instantly socially trend and grow their holder…,0,12,Sun Dec 04 14:03:38 +0000 2022
17,1599404051694866432,$NVVE https://t.co/kkcdrAGdzy Nuvve Holding Corp. Our Artificial Intelligence has forecasted the market value of th… https://t.co/nNQk0TGqbP,0,0,Sun Dec 04 14:03:36 +0000 2022
18,1599404043289477123,Artificial Intelligence through Robots https://t.co/IWTufib2Oc #robots,0,0,Sun Dec 04 14:03:34 +0000 2022
19,1599404038201622528,"RT @songpinganq: Thread🧵

If you stand close to a person , whose COVID passport code is red , more than 10 minutes, the artificial intellig…",0,349,Sun Dec 04 14:03:32 +0000 2022
20,1599404012172120065,"RT @News18India: दुनिया भर में लगातार बढ़ रहे दिल के मरीजों के लिए अच्छी खबर है. 
https://t.co/ofd333Snd5",0,2,Sun Dec 04 14:03:26 +0000 2022
21,1599403817552220161,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:02:40 +0000 2022
22,1599403793761779712,@chickendragonX @_MAGAWARRIOR @RealBrysonGray Of course it can be said about anything. AI is something that even El… https://t.co/dWBXTtct22,0,0,Sun Dec 04 14:02:34 +0000 2022
23,1599403774354735106,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 14:02:29 +0000 2022
24,1599403753605849089,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:02:25 +0000 2022
