,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
0,0.18927075756175804,43.5749999999999,-21.1181263448657,0.0734756124038056,1.078705,6.05364833333333,1.02549666666667,-43.9375,-42.2708346048991,-50.0520839691162,319.582336,0.0260550000000002,1.07579,6.049495,1.0234625,31.25,21.2812506357829,37.5208339691162,255.625009536743,0.0045739570632576,1.571454208,1.084025,6.06801333333333,1.592888,-41.59375,-47.3229204813639,-71.1,30.3393788501093,110.0,125.708333333333,520.0,1.075195,6.048385,1.02300083333333,-29.1875,-26.34375,-40.1718769073486,1.08913,6.06801333333333,1.07799333333333,-46.46875,-47.3229204813639,-60.0885423024495,2.17762026805481,1.68650979844245,2.66364256136394,-86.53125,-58.8650207519531
31,0.18927075756175804,55.82999999999994,41.9099997761574,0.0146103899924061,1.05572,9.01776666666667,1.02531,-44.5625038146973,-40.6041679382324,-54.125,204.49968,0.02006,1.05376,9.01594666666667,1.02347,30.3750019073486,32.8125,32.2656269073486,194.218784570694,0.141468033194542,1.90657664,1.084025,9.03752,1.592888,-41.59375,-45.8750012715658,-71.1,17.9649075208086,190.0,199.916666666667,690.0,1.05316,9.01526,1.02301,-32.6562538146973,-28.6666679382324,-46.5312538146973,1.07122,9.03752,1.6252,-45.6562538146973,-45.8750012715658,-78.0937576293945,2.39414726464926,2.0307934003931,3.01210278873063,-97.71875,-77.8036346435547
30,0.18927075756175804,106.56299999999996,22.3825003670131,0.0150371908041938,1.0557,20.24113,1.026628,-41.9062538146973,-36.1093769073486,-51.0062522888184,118.784848,0.0216000000000001,1.05408,20.23971,1.023568,25.0,6.06250059604645,36.63125,77.8125375509262,0.0249022878706455,1.354724608,1.084025,20.26075,1.592888,-41.59375,-40.8593769073486,-71.1,11.2372094414908,410.0,480.437484741211,989.999938964844,1.05338,20.23778,1.02306,-27.8437519073486,-25.84375,-47.4000030517578,1.80222,20.26075,1.646508,-42.8750038146973,-40.8593769073486,-73.2562545776367,1.71688036929242,0.907558269514955,2.50158440581643,-80.4062576293945,-72.8597564697266
5,0.18927075756175804,26.8649999999999,21.7075003805522,0.057565020287626,1.058955,14.1738366666667,1.02513875,-53.4687538146973,-47.8333333333333,-55.1328153610229,207.841568,0.0195350000000001,1.057,14.1707316666667,1.02338875,24.2187519073486,16.5520836512248,31.7734384536743,99.9399051070213,0.0042560053989291,2.37781376,1.084025,13.814128666666672,1.592888,-41.59375,-47.6885444641113,-71.1,11.6758039199953,360.0,328.75,1060.0,1.0565,14.1699366666667,1.023,-38.4375,-31.0208358764648,-53.0468769073486,1.05911,14.1803166666667,1.6546175,-53.6250038146973,-50.6979204813639,-84.7187519073486,2.83148997145048,1.53825935788929,3.41168221011192,-96.1562576293945,-85.4491729736328
11,0.18927075756175804,50.554999999999936,-18.0731228593967,0.0421568659264566,1.11404,5.952615,1.025115,-42.0,-40.1041666666667,-49.020835240682,239.438256,0.045045,1.111485,5.95050666666667,1.02347916666667,31.3750019073486,29.8645846048991,30.354167620341,323.28137755394,0.0213349647819996,1.88788864,1.084025,5.97745833333333,1.592888,-41.59375,-48.0416692097982,-71.1,35.0726067064768,110.0,123.20832824707,790.0,1.110975,5.94994,1.02308083333333,-27.6562519073486,-26.114585240682,-41.0885423024495,1.144405,5.97745833333333,1.74338083333333,-50.15625,-48.0416692097982,-73.3072942097982,2.58794971224345,2.23973781036429,2.56788394319507,-103.500007629395,-71.5274658203125
34,0.18927075756175804,37.0999999999999,-7.44499947802346,0.0876175592595125,1.07176,7.77702666666667,1.02529714285714,-44.6875038146973,-45.1979192097982,-50.2455368041992,192.462944,0.0217800000000001,1.06934,7.77458666666667,1.02348285714286,41.8437538146973,41.6145858764648,45.9687510899135,137.187495827675,0.110296249389648,1.957001856,1.084025,7.79197333333333,1.592888,-41.59375,-51.3437512715658,-71.1,12.2309201758149,170.0,168.833333333333,820.0,1.06884,7.77402,1.02306571428571,-30.4375019073486,-29.6875019073486,-45.343752179827,1.08218,7.79197333333333,1.62794285714286,-48.5937538146973,-51.3437512715658,-75.8080400739397,3.00084999527761,2.64061553971454,3.69360802451237,-90.2812576293945,-75.49853515625
1,0.307736653983629,86.73,6.26437486953013,0.117904755263878,1.072875,3.60347,1.02833,-38.6875,-45.453125,-52.0000007629395,138.224288,0.0223200000000001,1.069085,3.5997075,1.023469,29.5,35.0937519073486,30.39375,151.093780994415,0.034500028938055,3.387150336,1.084025,3.639295,1.592888,-41.59375,-50.6875019073486,-71.1,15.0420671303764,249.999984741211,64.4375,840.0,1.068335,3.5990475,1.022883,-30.8437519073486,-34.546875,-20.9625003814697,1.084025,3.639295,1.592888,-41.59375,-50.6875019073486,-71.1,3.39868072602068,3.60647804812722,2.69935354310103,-87.53125,-69.4515762329102
44,0.18927075756175804,107.372,2.47500023947689,0.0862359547876902,1.05917,7.097215,1.025553,-48.4375038146973,-48.2812538146973,-48.5875007629395,173.9616,0.02935,1.056635,7.093035,1.023411,33.6250038146973,37.34375,35.7687515258789,162.500187754631,0.0324001647531986,1.635576064,1.084025,7.114285,1.592888,-41.59375,-54.1875038146973,-71.1,31.6033226198861,190.0,151.875,1550.0,1.05612,7.092485,1.022942,-40.125,-36.5000038146973,-46.0437522888184,1.059815,7.114285,1.779266,-48.6875038146973,-54.1875038146973,-77.1875045776367,3.50314948685377,3.70072026849475,3.59069295249418,-97.125,-78.7238235473633
21,0.18927075756175804,57.151000000000025,-44.5268752424788,0.0054491507887697,1.042855,6.67347333333333,1.025011,-52.2187538146973,-45.2187525431315,-55.7875030517578,231.658592,0.0099900000000001,1.040985,6.67166,1.023336,29.0,28.4479185740153,35.7625,192.053586244583,0.0073593407869339,1.237925248,1.084025,6.69193333333333,1.592888,-41.59375,-50.0208358764648,-71.1,23.1352112096203,140.0,141.291666666667,450.0,1.040515,6.67096,1.022946,-39.6875038146973,-31.1666679382324,-48.1375022888184,1.04305,6.69193333333333,1.612528,-52.5000038146973,-50.0208358764648,-67.3937530517578,2.47462646816188,1.75805521193107,2.93622788083656,-86.75,-66.3029708862305
2,0.18927075756175804,46.435,4.06749937550965,0.068452375994788,1.08025,6.163475,1.025503,-50.34375,-48.9375,-55.5375007629395,178.274368,0.021185,1.076585,6.1594875,1.023424,39.0625,44.484375,41.8812507629395,118.124924600124,0.0234757419675589,2.2280576,1.084025,6.19151,1.592888,-41.59375,-54.578125,-71.1,13.9428447896854,250.0,128.5,590.0,1.076105,6.1590225,1.023065,-35.34375,-35.890625,-46.3250007629395,1.084885,6.19151,1.262307,-52.125,-54.578125,-71.575,4.06768011019933,4.12224837279796,4.10449424160352,-84.78125,-70.9127655029297
