,Target
1066,17.625
638,30.428571428571427
799,18.25
380,12.285714285714286
303,23.666666666666668
86,22.428571428571427
1386,28.5
265,30.285714285714285
793,18.75
1446,17.5
808,22.5
1100,17.375
605,30.375
701,25.0
221,29.428571428571427
113,30.285714285714285
548,28.875
1073,19.0
174,33.142857142857146
514,33.125
1351,32.53333333333333
1146,21.0
965,30.75
936,30.0
285,27.166666666666668
1311,33.111111111111114
342,16.125
1166,24.5625
31,16.0
873,36.0
210,30.5
924,30.875
405,12.625
770,15.75
381,12.0
889,37.625
1201,35.6875
188,29.83333333333333
893,31.125
1328,31.59259259259259
420,18.125
578,30.125
83,23.5
1379,29.666666666666668
48,15.6
155,37.16666666666666
973,32.125
1111,14.0
950,27.375
1030,20.875
1185,30.0
1197,30.2
1443,18.55555555555556
481,30.625
179,33.25
859,35.125
1214,34.07142857142857
583,31.125
477,29.125
1406,24.545454545454547
1251,36.16666666666666
1167,24.25
346,17.142857142857142
1439,16.444444444444443
1138,17.066666666666666
1366,32.44
654,25.0
988,32.375
243,30.0
1343,31.07692307692308
1057,18.5
1268,33.125
1023,26.5
810,25.125
1385,28.6
626,31.0
813,26.625
839,32.875
370,11.428571428571429
54,16.857142857142858
534,35.75
785,23.125
312,19.857142857142858
1175,26.625
109,30.625
430,18.5
100,30.0
513,35.25
1191,31.375
266,30.75
1291,31.0
296,23.857142857142858
506,33.25
901,30.375
809,24.875
377,14.0
286,27.714285714285715
1401,23.727272727272727
1048,22.5
126,32.875
618,26.571428571428573
292,24.33333333333333
527,32.875
1285,33.25
482,31.5
355,15.25
170,33.0
1196,29.8
661,25.5
1235,37.4
209,31.0
485,34.875
140,36.0
1190,32.3125
943,29.625
621,29.125
1193,29.266666666666666
1323,31.33333333333333
704,18.25
1324,29.928571428571427
199,30.5
493,30.5
664,24.875
1340,30.73913043478261
1058,19.375
1188,33.3125
10,15.714285714285714
147,35.333333333333336
764,14.625
282,29.428571428571427
298,23.0
918,31.25
291,24.571428571428573
819,25.25
573,30.0
1455,17.142857142857142
549,31.38888888888889
462,25.75
129,34.0
845,28.75
331,18.625
323,18.25
650,27.625
439,23.125
798,17.75
135,33.0
1453,17.318181818181817
762,17.375
932,32.25
435,20.0
629,30.625
1211,33.4375
1119,11.666666666666666
1085,12.0
158,34.2
967,32.0
1260,32.625
551,30.625
497,25.25
1031,22.125
1263,34.1875
1013,28.571428571428573
1312,33.8
566,32.125
610,28.625
1105,15.75
1208,31.916666666666668
816,27.0
438,21.625
940,29.0
96,29.142857142857142
560,33.125
1222,33.3125
471,26.375
1004,28.285714285714285
410,12.375
963,30.25
582,32.125
156,31.285714285714285
594,31.875
617,28.75
447,22.375
1206,34.0
861,33.125
1010,28.375
390,14.375
1410,23.92
847,31.0
1288,30.5
615,31.25
613,28.5
1304,29.53333333333333
486,34.375
561,32.625
308,18.83333333333333
461,27.25
1212,33.125
730,14.75
1156,24.933333333333334
1204,34.0
700,21.375
849,32.625
1261,34.733333333333334
787,19.25
352,16.125
710,17.5
124,32.625
178,31.5
287,25.857142857142858
1408,23.0
1209,31.3125
294,27.8
327,19.125
1131,15.333333333333334
841,30.75
1155,24.916666666666668
931,31.375
236,29.0
88,23.5
886,33.375
552,34.0
630,31.0
1353,31.727272727272727
665,25.125
900,33.125
290,26.33333333333333
1383,27.74074074074074
570,30.75
348,15.5
544,33.0
1377,30.92
660,25.25
1112,13.266666666666667
458,25.857142857142858
1005,30.0
333,17.875
721,9.625
1290,30.4375
678,21.375
1355,32.30769230769231
328,21.25
318,17.0
1448,17.857142857142858
908,34.25
12,15.833333333333334
171,34.833333333333336
260,29.142857142857142
778,21.25
818,23.5
759,12.75
138,35.333333333333336
1210,31.75
885,32.625
741,10.625
139,36.4
1277,32.125
1428,21.61111111111111
224,30.75
1063,19.5
409,13.0
325,17.625
299,22.875
1172,26.1875
705,17.25
1236,36.13333333333333
1356,32.25
903,31.5
829,27.125
503,32.375
1434,18.63636363636364
3,8.666666666666666
1314,33.11764705882353
467,26.875
321,18.5
5,7.0
1240,33.21739130434783
1094,15.0
715,12.875
39,15.428571428571429
542,34.75
242,29.0
136,32.833333333333336
714,17.75
737,10.0
1302,30.3125
1043,22.75
1331,30.178571428571427
1279,29.5625
752,14.625
1354,31.4
376,12.875
314,18.857142857142858
442,21.75
319,16.625
767,15.875
756,13.25
424,16.142857142857142
553,35.0
1035,23.375
953,30.75
1199,33.125
596,33.25
227,26.6
1107,18.266666666666666
771,16.0
933,32.125
1418,20.666666666666668
66,24.166666666666668
999,28.714285714285715
579,31.5
942,28.25
211,28.83333333333333
1149,21.6875
745,13.0
536,36.875
1287,31.5
1296,34.1875
85,21.0
1315,33.80952380952381
974,31.875
976,32.0
631,29.625
1316,31.615384615384617
1384,28.428571428571427
1364,31.48
949,28.875
273,28.285714285714285
1034,22.875
362,10.571428571428571
622,29.625
2,7.166666666666667
6,7.0
311,18.0
668,23.375
1037,23.75
1440,20.041666666666668
215,32.5
1120,14.5625
27,14.833333333333334
1055,18.625
