,Target
0,16884.924
1,1725.5523
2,4449.462
3,21984.47061
4,3866.8552
5,3756.6216
6,8240.5896
7,7281.5056
8,6406.4107
9,28923.13692
10,2721.3208
11,27808.7251
12,1826.843
13,11090.7178
14,39611.7577
15,1837.237
16,10797.3362
17,2395.17155
18,10602.385
19,36837.467
20,13228.84695
21,4149.736
22,1137.011
23,37701.8768
24,6203.90175
25,14001.1338
26,14451.83515
27,12268.63225
28,2775.19215
29,38711.0
30,35585.576
31,2198.18985
32,4687.797
33,13770.0979
34,51194.55914
35,1625.43375
36,15612.19335
37,2302.3
38,39774.2763
39,48173.361
40,3046.062
41,4949.7587
42,6272.4772
43,6313.759
44,6079.6715
45,20630.28351
46,3393.35635
47,3556.9223
48,12629.8967
49,38709.176
50,2211.13075
51,3579.8287
52,23568.272
53,37742.5757
54,8059.6791
55,47496.49445
56,13607.36875
57,34303.1672
58,23244.7902
59,5989.52365
60,8606.2174
61,4504.6624
62,30166.61817
63,4133.64165
64,14711.7438
65,1743.214
66,14235.072
67,6389.37785
68,5920.1041
69,17663.1442
70,16577.7795
71,6799.458
72,11741.726
73,11946.6259
74,7726.854
75,11356.6609
76,3947.4131
77,1532.4697
78,2755.02095
79,6571.02435
80,4441.21315
81,7935.29115
82,37165.1638
83,11033.6617
84,39836.519
85,21098.55405
86,43578.9394
87,11073.176
88,8026.6666
89,11082.5772
90,2026.9741
91,10942.13205
92,30184.9367
93,5729.0053
94,47291.055
95,3766.8838
96,12105.32
97,10226.2842
98,22412.6485
99,15820.699
100,6186.127
101,3645.0894
102,21344.8467
103,30942.1918
104,5003.853
105,17560.37975
106,2331.519
107,3877.30425
108,2867.1196
109,47055.5321
110,10825.2537
111,11881.358
112,4646.759
113,2404.7338
114,11488.31695
115,30259.99556
116,11381.3254
117,19107.7796
118,8601.3293
119,6686.4313
120,7740.337
121,1705.6245
122,2257.47525
123,39556.4945
124,10115.00885
125,3385.39915
126,17081.08
127,9634.538
128,32734.1863
129,6082.405
130,12815.44495
131,13616.3586
132,11163.568
133,1632.56445
134,2457.21115
135,2155.6815
136,1261.442
137,2045.68525
138,27322.73386
139,2166.732
140,27375.90478
141,3490.5491
142,18972.495
143,18157.876
144,20745.9891
145,5138.2567
146,40720.55105
147,9877.6077
148,10959.6947
149,1842.519
150,5125.2157
151,7789.635
152,6334.34355
153,19964.7463
154,7077.1894
155,6948.7008
156,21223.6758
157,15518.18025
158,36950.2567
159,19749.38338
160,21348.706
161,36149.4835
162,10450.552
163,5152.134
164,5028.1466
165,10407.08585
166,4830.63
167,6128.79745
168,2719.27975
169,4827.90495
170,13405.3903
171,8116.68
172,1694.7964
173,5246.047
174,2855.43755
175,48824.45
176,6455.86265
177,10436.096
178,8823.279
179,8538.28845
180,11735.87905
181,1631.8212
182,4005.4225
183,7419.4779
184,7731.4271
185,43753.33705
186,3981.9768
187,5325.651
188,6775.961
189,4922.9159
190,12557.6053
191,4883.866
192,2137.6536
193,12044.342
