m-type;average_bifurcation_angle_local;average_contraction;average_diameter;average_fragmentation;average_parent_daughter_ratio;max_branch_order;max_euclidean_distance;max_path_distance;neuron_reconstruction_type;number_bifurcations;number_branches;number_nodes;number_stems;number_tips;overall_depth;overall_height;overall_width;scale_factor_x;scale_factor_y;scale_factor_z;soma_surface;total_length;total_surface;total_volume
Aspiny_1;62.1631181465387;0.930363535415248;0.464887060755718;59.4864864864865;0.858529232947957;5.0;247.737791452899;254.99882124689;full;19;43;2268;5;24;56.3931;383.260761595687;327.150382691509;0.1144;0.1144;0.28;361.118558522107;2644.87829811157;3883.69860418228;512.836253022058
Aspiny_1;62.1629589442566;0.930363522561526;0.464887131369386;59.4864864864865;0.858555216507199;5.0;247.737791452899;254.99882124689;full;19;43;2268;5;24;56.3931;383.260761595687;327.150382691509;0.1144;0.1144;0.28;361.118558522107;2644.87834709486;3883.69951398975;512.835042668049
Aspiny_1;73.4068347227088;0.885431022028078;0.471252268074634;55.75;0.849701344596509;5.0;183.250753631247;217.333733047884;full;12;28;1402;4;16;94.2998;331.170179766346;263.45196153981;0.1144;0.1144;0.28;338.556461797447;1696.59146308595;2533.99531544614;329.294336815294
Aspiny_1;78.3123680400242;0.912228629394595;0.316514807825311;45.6071428571429;0.93182704775294;7.0;208.704361616067;225.49605972648;full;28;62;2691;6;34;59.36;316.651487610921;263.331599235058;0.1144;0.1144;0.28;355.472201542086;3161.00183164673;3143.82810720632;264.610228976291
Aspiny_1;77.9008248914506;0.919880545379139;0.423684971450964;41.6136363636364;0.811128580748941;4.0;208.960394508002;230.849634658237;full;22;48;1934;4;26;60.2975;290.299645874726;327.310902284944;0.1144;0.1144;0.28;356.208499117632;2262.95356971455;3040.69684163491;377.968196009773
Aspiny_1;77.9804392732071;0.919570950809402;0.42361562481856;41.7045454545455;0.817027386531113;4.0;208.960394508002;230.879637496807;full;22;48;1938;4;26;60.2975;290.299645874726;327.310902284944;0.1144;0.1144;0.28;356.208499117632;2263.66266057433;3040.8479967252;378.351251717184
Aspiny_1;70.4538166723969;0.911180198471133;0.292071577938038;42.1136363636364;0.943650370161292;4.0;182.756118048507;221.178105096551;full;22;52;2198;8;30;58.2484;245.104292806655;274.720698549847;0.1144;0.1144;0.28;320.597114632689;2539.93368079341;2338.41090198346;178.908970409166
Aspiny_1;64.9677476831841;0.913062997905518;0.536154165473523;62.4545454545455;0.915744345471126;4.0;311.893943333227;364.736269521673;full;22;51;2828;7;29;71.8928;508.3021019937;238.838855725272;0.1144;0.1144;0.28;751.558871393088;3335.86558452585;5625.12306344086;866.504180135325
Aspiny_1;63.5788613831122;0.912103355459272;0.538379409082509;64.3333333333333;0.879128762737294;4.0;311.893943333227;340.357898554023;full;21;49;2782;7;28;70.7669;508.3021019937;238.838855725272;0.1144;0.1144;0.28;751.558871393088;3265.32328661432;5537.45453938121;857.056931934534
Aspiny_1;58.7055951369553;0.941702043560271;0.333746909181098;39.6136363636364;0.926101660527069;4.0;197.729299727835;208.550322623812;full;22;50;1835;6;28;56.1756;331.044100356644;292.386326689997;0.1144;0.1144;0.28;354.145591933411;2151.16855309528;2258.04695289997;219.724722062916
