e-type;m-type;adaptation;avg_isi;electrode_0_pa;f_i_curve_slope;fast_trough_t_long_square;fast_trough_t_ramp;fast_trough_t_short_square;fast_trough_v_long_square;fast_trough_v_ramp;fast_trough_v_short_square;input_resistance_mohm;latency;peak_t_long_square;peak_t_ramp;peak_t_short_square;peak_v_long_square;peak_v_ramp;peak_v_short_square;ri;sag;seal_gohm;slow_trough_t_long_square;slow_trough_t_ramp;slow_trough_t_short_square;slow_trough_v_long_square;slow_trough_v_ramp;slow_trough_v_short_square;tau;threshold_i_long_square;threshold_i_ramp;threshold_i_short_square;threshold_t_long_square;threshold_t_ramp;threshold_t_short_square;threshold_v_long_square;threshold_v_ramp;threshold_v_short_square;trough_t_long_square;trough_t_ramp;trough_t_short_square;trough_v_long_square;trough_v_ramp;trough_v_short_square;upstroke_downstroke_ratio_long_square;upstroke_downstroke_ratio_ramp;upstroke_downstroke_ratio_short_square;vm_for_sag;vrest;average_bifurcation_angle_local;average_contraction;average_diameter;average_fragmentation;average_parent_daughter_ratio;max_branch_order;max_euclidean_distance;max_path_distance;neuron_reconstruction_type;number_bifurcations;number_branches;number_nodes;number_stems;number_tips;overall_depth;overall_height;overall_width;scale_factor_x;scale_factor_y;scale_factor_z;soma_surface;superseded;total_length;total_surface;total_volume
Exc_1;Spiny_12;;;-40.6575016709265;0.129997309118334;1.035295;8.761275;1.0255125;-51.9687538146973;-46.2916679382324;-52.9322935740153;281.624384;0.00522;1.033185;8.75925333333334;1.02347083333333;31.0;26.9687519073486;34.2708339691162;100.000038743019;0.0120830200612545;1.284698496;;8.775585;;;-47.8958371480306;;8.48381375018388;140.0;193.416661580404;260.0;1.032705;8.75859666666667;1.02302833333333;-42.65625;-34.2604179382324;-46.442710240682;1.035605;8.775585;1.049555;-52.25;-47.8958371480306;-59.4322948455811;2.74629636436668;1.9913458199981;3.00036067777369;-68.9375;-57.3023872375488;80.8137619259968;0.867569581226749;0.413841949594904;66.15625;0.784639860383783;10.0;571.166055955542;668.906468364582;dendrite-only;16;42;2446;10;26;70.8467;682.624288997884;244.257428058633;0.1144;0.1144;0.28;210.391018940735;FALSE;2759.19905626068;3589.99622342502;420.022012301537
Exc_1;Spiny_12;;;-45.9900000027158;0.0559447990496678;1.10636;7.67016;1.02514666666667;-50.6875038146973;-48.8750038146973;-55.4895858764648;215.53824;0.0308600000000001;1.10342;7.66732;1.02324666666667;26.6562519073486;24.0;26.7395846048991;119.79179084301;0.0609564147889614;1.199606528;;7.68336;;;-53.53125;;14.8855460793383;170.0;166.125;800.0;1.10282;7.66666;1.02276666666667;-42.9687538146973;-39.15625;-51.4687512715658;1.12488;7.68336;1.88285333333333;-56.46875;-53.53125;-77.687505086263;2.69175890077925;2.44915352466837;2.84238775536189;-88.6562576293945;-76.9605560302734;76.5720008411547;0.844928745895831;0.267291665286858;55.4038461538462;0.98539311419883;10.0;556.383922223522;659.679520005464;dendrite-only;26;60;3104;8;34;62.9373;669.615438912856;280.698521385359;0.1144;0.1144;0.28;112.514533121706;FALSE;3459.46862668547;2906.00391245815;193.428071537688
Exc_1;Spiny_13;;;3.90562495539148;-7.72008057733245e-19;1.0424;10.420175;1.0249825;-48.34375;-47.6562525431315;-51.8177115122477;114.172056;0.0136000000000001;1.040985;10.4187666666667;1.0233625;34.78125;33.239585240682;36.9166692097982;89.5832106471062;0.151859939098358;2.146193664;;10.4336416666667;;;-53.2395871480306;;9.72155964069954;290.0;234.958323160807;850.0;1.04053;10.4182416666667;1.02294916666667;-40.53125;-32.1875025431315;-49.6197948455811;1.049805;10.4336416666667;1.43596416666667;-49.1875038146973;-53.2395871480306;-77.4166717529297;2.47128351691856;1.85751777084939;2.7292945654191;-87.75;-76.849479675293;87.3855773520859;0.800959785855947;0.0909419825236545;41.2962962962963;0.87423461372102;16.0;465.261800068391;562.718423355426;dendrite-only;27;61;2354;7;34;96.8584;554.216003371826;155.382463294568;0.1144;0.1144;0.28;30.7538119122786;FALSE;2695.6829331799;769.397999365348;16.3339694504858
Exc_1;Spiny_14;;;22.3825003670131;0.0150371908041938;1.0557;20.24113;1.026628;-41.9062538146973;-36.1093769073486;-51.0062522888184;118.784848;0.0216000000000001;1.05408;20.23971;1.023568;25.0;6.06250059604645;36.63125;77.8125375509262;0.0249022878706455;1.354724608;;20.26075;;;-40.8593769073486;;11.2372094414908;410.0;480.437484741211;989.999938964844;1.05338;20.23778;1.02306;-27.8437519073486;-25.84375;-47.4000030517578;1.80222;20.26075;1.646508;-42.8750038146973;-40.8593769073486;-73.2562545776367;1.71688036929242;0.907558269514955;2.50158440581643;-80.4062576293945;-72.8597564697266;66.7584910702835;0.848651059692738;0.440694489993523;52.9268292682927;0.881696922350823;13.0;713.298935977603;776.774014198049;dendrite-only;21;47;2313;5;26;170.9389;776.798228364382;181.290573775701;0.1144;0.1144;0.28;617.874940598964;FALSE;2700.21433492996;3722.74250342805;489.755587117919
Exc_1;Spiny_15;;;36.4324959090112;0.0166383691121894;1.09508;7.99776;1.02534;-46.4687538146973;-45.7500038146973;-46.3593769073486;144.826192;0.04304;1.09312;7.99424;1.023575;33.3125038146973;34.625;33.9687509536743;134.218752384186;0.065320760011673;1.522279296;;8.01716;;;-51.4687538146973;;27.5034252726715;130.0;174.375;1500.0;1.0926;7.9936;1.023115;-39.9062538146973;-37.2187538146973;-43.6484394073486;1.14446;8.01716;1.803295;-51.7812538146973;-51.4687538146973;-73.7187557220459;3.51821195149564;3.3770620700755;3.55522973704364;-89.7812576293945;-73.3952331542969;77.5507674410746;0.850678168585273;0.79151180172425;47.8703703703704;0.99016915685381;7.0;187.669517830494;215.350991566001;dendrite-only;27;60;2631;6;33;95.76;255.129261827573;194.556846693724;0.1144;0.1144;0.28;477.870181324698;FALSE;3150.36906357934;7840.91198071998;1608.92767267077
Exc_1;Spiny_17;;;22.6724992946625;0.0155303046241387;1.05376;14.3291466666667;1.025384;-47.9062538146973;-42.1770858764648;-54.3312515258789;122.495016;0.01932;1.05218;14.3276466666667;1.02354;26.0;19.9895842870076;34.7000007629395;144.062578678131;0.102740123867989;1.389071872;;14.3492866666667;;;-45.7291704813639;;15.8092229088977;330.0;332.666666666667;959.999938964844;1.0516;14.32662;1.023068;-33.5312538146973;-27.4791679382324;-48.4687538146973;1.0539;14.3492866666667;1.360032;-48.0;-45.7291704813639;-79.4000015258789;2.25693123135175;1.42321122817523;2.80687077166781;-94.03125;-78.9341659545898;82.5508007188168;0.834684822074571;0.396811373433931;59.35;0.825544686932118;10.0;519.20217756662;550.255363227527;dendrite-only;20;46;2534;6;26;108.1714;610.058613672506;170.011635291948;0.1144;0.1144;0.28;249.405758375764;FALSE;2949.28623420361;3679.55897999639;421.403681985634
Exc_1;Spiny_17;;;41.9099997761574;0.0146103899924061;1.05572;9.01776666666667;1.02531;-44.5625038146973;-40.6041679382324;-54.125;204.49968;0.02006;1.05376;9.01594666666667;1.02347;30.3750019073486;32.8125;32.2656269073486;194.218784570694;0.141468033194542;1.90657664;;9.03752;;;-45.8750012715658;;17.9649075208086;190.0;199.916666666667;690.0;1.05316;9.01526;1.02301;-32.6562538146973;-28.6666679382324;-46.5312538146973;1.07122;9.03752;1.6252;-45.6562538146973;-45.8750012715658;-78.0937576293945;2.39414726464926;2.0307934003931;3.01210278873063;-97.71875;-77.8036346435547;73.4173502276816;0.812881099944951;0.318870012272988;46.25;0.719981883283679;13.0;400.560883685726;465.966551254138;dendrite-only;22;50;2165;6;28;85.9494;486.282688742071;202.605166261484;0.1144;0.1144;0.28;90.0681394446641;FALSE;2622.85897355899;2637.47028843121;225.489663321031
Exc_1;Spiny_18;;;12.0081253968118;0.0096976396429452;1.085745;12.5043966666667;1.025561;-43.4375038146973;-43.9791666666667;-52.4875022888184;155.913216;0.032295;1.08349;12.5024933333333;1.02359;24.25;23.8645846048991;33.3000007629395;154.218822717667;0.161058440804482;2.37448448;;12.52623;;;-47.6250025431315;;14.9306682668672;250.0;287.041666666667;770.0;1.08286;12.5016866666667;1.023101;-29.7187519073486;-29.7916679382324;-49.6375030517578;1.11689;12.52623;1.108791;-48.5;-47.6250025431315;-79.1250045776367;2.18187656817134;1.78913559659463;2.62599484640037;-94.6875076293945;-77.5825424194336;75.5692224750044;0.873486460383067;0.366706945343611;37.625;0.891321116488383;21.0;759.286451683717;794.867001447578;dendrite-only;40;85;3159;5;45;113.3546;843.711435498011;220.068905225172;0.1144;0.1144;0.28;252.444274076126;FALSE;3615.29603807596;4162.26265396219;448.724770432929
Exc_1;Spiny_18;;353.06;12.2924994835905;0.0828719486973755;1.05938;12.0116266666667;1.02546;-45.15625;-46.6041692097982;-54.6062530517578;114.919744;0.0230400000000002;1.05742;12.00966;1.02352;33.3750038146973;31.895835240682;36.8812515258789;80.6249976158142;0.0433410927653313;1.57069504;;12.0312666666667;;;-50.2812525431315;;10.6963950560354;470.0;274.708333333333;1070.0;1.05682;12.0090466666667;1.023072;-33.3125038146973;-32.7604198455811;-48.0687515258789;1.05956;12.0312666666667;1.492328;-45.4375038146973;-50.2812525431315;-77.225;2.38856192281877;2.0981962342923;2.46661385976264;-85.1875;-76.6868209838867;74.4430183077721;0.864468013407741;0.518025236675186;44.3333333333333;0.956251511718162;15.0;829.044306898135;910.863578649771;dendrite-only;39;82;3501;4;43;111.4543;912.521347523649;227.54679578595;0.1144;0.1144;0.28;281.221410418452;FALSE;4097.10320718814;6656.64428033557;1002.99284256885
Exc_1;Spiny_2;;;49.3356258624011;0.0348101195836744;1.109405;11.29304;1.02525833333333;-42.0;-41.71875;-48.3229179382324;93.04396;0.0621150000000001;1.106385;11.29091;1.02349833333333;40.4062538146973;48.7812538146973;45.7083358764648;60.6970116496086;0.0136078074574471;1.8188576;;11.3288975;;;-51.5781269073486;;13.502059264075;490.0;256.749992370605;1829.99975585938;1.105965;11.2905325;1.02306333333333;-32.46875;-33.7968769073486;-50.5729192097982;1.134905;11.3288975;1.73348666666667;-49.125;-51.5781269073486;-79.1145909627279;3.92193249325459;3.86543960084818;3.13574840757007;-86.0625076293945;-79.3246078491211;70.2860008731607;0.895460819194867;0.46053668198086;41.1842105263158;0.90521522483892;10.0;300.947230845492;357.857878735324;dendrite-only;38;84;3355;8;46;111.2546;355.777260109091;302.005042892578;0.1144;0.1144;0.28;489.297269162917;FALSE;4044.50392852172;5842.09635557476;782.431071773363
