Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party
A. Donald McEachin,RepMcEachin,2017-01-03T00:00:00Z,816181091673448448,male,Germany,1961-10-10T00:00:00Z,59.0,repmceachin,Democratic Party
Aaron Michlewitz,RepMichlewitz,2010-06-27T00:00:00Z,160246973,male,United States of America,1978-01-01T00:00:00Z,42.0,,Democratic Party
Aaron Peskin,AaronPeskin,2010-11-13T00:00:00Z,215369273,male,United States of America,1964-06-17T00:00:00Z,56.0,apeskin52,Democratic Party
Aaron Peña,AaronPena,2007-10-31T00:00:00Z,9843332,male,United States of America,1959-06-08T00:00:00Z,61.0,,Republican Party
Aaron Schock,aaronschock,2009-03-12T00:00:00Z,23951197,male,United States of America,1981-05-28T00:00:00Z,39.0,aaronschock,Republican Party
Abby Finkenauer,Abby4Iowa,2013-03-12T00:00:00Z,1262017122,female,United States of America,1988-12-27T00:00:00Z,31.0,abby4iowa,Democratic Party
Abigail Spanberger,SpanbergerVA07,2018-12-28T00:00:00Z,1078771401497161728,female,United States of America,1978-08-01T00:00:00Z,42.0,repspanberger,Democratic Party
Abigail Spanberger,RepSpanberger,2018-12-28T00:00:00Z,1078771401497161728,female,United States of America,1978-08-01T00:00:00Z,42.0,repspanberger,Democratic Party
Abigail Spanberger,SpanbergerVA07,2017-07-06T00:00:00Z,882958562296819714,female,United States of America,1978-08-01T00:00:00Z,42.0,repspanberger,Democratic Party
Abigail Spanberger,RepSpanberger,2017-07-06T00:00:00Z,882958562296819714,female,United States of America,1978-08-01T00:00:00Z,42.0,repspanberger,Democratic Party
Adam Kinzinger,repkinzinger,2010-11-24T00:00:00Z,219429281,male,United States of America,1978-02-27T00:00:00Z,42.0,,Republican Party
Adam Putnam,adamputnam,2009-06-19T00:00:00Z,48809111,male,United States of America,1974-07-31T00:00:00Z,46.0,,Republican Party
Adam Schiff,RepAdamSchiff,2009-04-07T00:00:00Z,29501253,male,United States of America,1960-06-22T00:00:00Z,60.0,repadamschiff,Democratic Party
Adam Smith,RepAdamSmith,2009-07-21T00:00:00Z,58928690,male,United States of America,1965-06-15T00:00:00Z,55.0,,Democratic Party
Adam Zemke,adamzemke,,,male,United States of America,1983-06-04T00:00:00Z,37.0,,Democratic Party
Adlai Stevenson III,AdlaiEStevenson,2010-11-30T00:00:00Z,221507760,male,United States of America,1930-10-10T00:00:00Z,90.0,,Democratic Party
Adrian Fenty,adrianfenty,2013-08-04T00:00:00Z,1644427472,male,United States of America,1970-12-06T00:00:00Z,49.0,,Democratic Party
Adrian Smith,RepAdrianSmith,2011-05-10T00:00:00Z,296245061,male,United States of America,1970-12-19T00:00:00Z,49.0,repadriansmith,Republican Party
Adriano Espaillat,RepEspaillat,2017-01-05T00:00:00Z,817076257770835968,male,Dominican Republic,1954-09-27T00:00:00Z,66.0,repadrianoespaillat,Democratic Party
Aftab Pureval,aftabpureval,2014-03-20T00:00:00Z,2400005258,male,United States of America,1982-09-09T00:00:00Z,38.0,aftabpureval,Democratic Party
Aja Brown,AjaLBrown,2013-02-12T00:00:00Z,1173297636,female,United States of America,1982-04-17T00:00:00Z,38.0,ajalbrown,Democratic Party
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,1932-07-31T00:00:00Z,88.0,,New Party Sakigake
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,1932-07-31T00:00:00Z,88.0,,Japan Socialist Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,1951-05-21T00:00:00Z,69.0,,Minnesota Democratic–Farmer–Labor Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,1951-05-21T00:00:00Z,69.0,,Democratic Party
Al Gore,algore,2008-11-06T00:00:00Z,17220934,male,United States of America,1948-03-31T00:00:00Z,72.0,,Democratic Party
Al Green,RepAlGreen,2010-06-16T00:00:00Z,156333623,male,United States of America,1947-09-01T00:00:00Z,73.0,repalgreen,Democratic Party
Al Gross,DrAlGrossAK,2017-01-01T00:00:00Z,817869452473548800,male,United States of America,1962-04-13T00:00:00Z,58.0,dralgross,independent politician
Al Muratsuchi,asmmuratsuchi,2017-02-13T00:00:00Z,831279382052249600,male,Japan,1964-09-04T00:00:00Z,56.0,asmmuratsuchi,Democratic Party
Al Muratsuchi,asmmuratsuchi,2017-02-13T00:00:00Z,831279382052249600,male,Japan,1964-09-04T00:00:00Z,56.0,asmmuratsuchi,California Democratic Party
Al Sharpton,TheRevAl,2009-05-25T00:00:00Z,42389136,male,United States of America,1954-10-03T00:00:00Z,66.0,,Democratic Party
Alan Grayson,AlanGrayson,2009-05-18T00:00:00Z,41017380,male,United States of America,1958-03-13T00:00:00Z,62.0,,Democratic Party
Alan Lowenthal,replowenthal,2013-01-02T00:00:00Z,1055730738,male,United States of America,1941-03-08T00:00:00Z,79.0,replowenthal,Democratic Party
